"","x"
"1","3DD.003BA20BEB"
"2","3DD.003C06F67E"
"3","3DD.003C06F6A0"
"4","3DD.003C06F762"
"5","3DD.003C06F77E"
"6","3DD.003C06F68C"
"7","3DD.003C06F68A"
"8","3DD.003C06F6A9"
"9","3DD.003C06F673"
"10","3DD.003C06F68B"
"11","3DD.003C06F669"
"12","3DD.003C06F654"
"13","3DD.003C06F7A1"
"14","3DD.003C06F690"
"15","3DD.003C06F64B"
"16","3DD.003C06F679"
"17","3DD.003C06F66A"
"18","3DD.003C06F666"
"19","3DD.003C06F7D3"
"20","3DD.003BA20F44"
"21","3DD.003C06F687"
"22","3DD.003C06F7B9"
"23","3DD.003C06F68D"
"24","3DD.003C06F694"
"25","3DD.003BA20F47"
"26","3DD.003C06F67D"
"27","3DD.003BA20FF2"
"28","3DD.003C06F68E"
"29","3DD.003C06F72A"
"30","3DD.003C06F6AD"
"31","3DD.003C06F670"
"32","3DD.003BA20F5D"
"33","3DD.003C06F75E"
"34","3DD.003C06F746"
"35","3DD.003C06F69F"
"36","3DD.003C06F71A"
"37","3DD.003C06F7A5"
"38","3DD.003C06F71E"
"39","3DD.003C06F66B"
"40","3DD.003C06F699"
"41","3DD.003C06F726"
"42","3DD.003C06F651"
"43","3DD.003C06F691"
"44","3DD.003C06F67A"
"45","3DD.003C06F6AB"
"46","3DD.003C06F656"
"47","3DD.003C06F749"
"48","3DD.003C06F6F6"
"49","3DD.003C06F675"
"50","3DD.003C06F70A"
"51","3DD.003C06F708"
"52","3DD.003C06F70E"
"53","3DD.003C06F6E9"
"54","3DD.003BA20F75"
"55","3DD.003C06F6B7"
"56","3DD.003BA20F87"
"57","3DD.003C06F6E3"
"58","3DD.003C06F706"
"59","3DD.003C06F6E6"
"60","3DD.003BA20F70"
"61","3DD.003BA20F5C"
"62","3DD.003C06F6E1"
"63","3DD.003C06F6E4"
"64","3DD.003C06F683"
"65","3DD.003C06F663"
"66","3DD.003C06F6DD"
"67","3DD.003C06F6E2"
"68","3DD.003C06F6C9"
"69","3DD.003C06F6B0"
"70","3DD.003C06F6BA"
"71","3DD.003C06F6B8"
"72","3DD.003C06F6DA"
"73","3DD.003C06F6F8"
"74","3DD.003BA20F72"
"75","3DD.003BA20F8B"
"76","3DD.003C06F6EB"
"77","3DD.003C06F704"
"78","3DD.003C06F6D6"
"79","3DD.003C06F6C6"
"80","3DD.003C06F6E0"
"81","3DD.003C06F701"
"82","3DD.003BA20F6A"
"83","3DD.003C06F6F2"
"84","3DD.003C06F6EE"
"85","3DD.003C06F6CE"
"86","3DD.003BA20BEC"
"87","3DD.003BA20F37"
"88","3DD.003C06F652"
"89","3DD.003C06F6A6"
"90","3DD.003C06F798"
"91","3DD.003C06F6CD"
"92","3DD.003C06F6FC"
"93","3DD.003C06F6B9"
"94","3DD.003C06F6B2"
"95","3DD.003C06F6FB"
"96","3DD.003C06F6BF"
"97","3DD.003C06F696"
"98","3DD.003BA20F35"
"99","3DD.003C06F6E5"
"100","3DD.003C06F700"
"101","3DD.003C06F6D7"
"102","3DD.003C06F6A7"
"103","3DD.003C06F658"
"104","3DD.003C06F67C"
"105","3DD.003C06F6D3"
"106","3DD.003C06F650"
"107","3DD.003C06F698"
"108","3DD.003C06F6C0"
"109","3DD.003C06F6B3"
"110","3DD.003C06F6BE"
"111","3DD.003C06F6BD"
"112","3DD.003C06F64A"
"113","3DD.003C06F692"
"114","3DD.003BA20F8D"
"115","3DD.003C06F6DE"
"116","3DD.003C06F67F"
"117","3DD.003C06F724"
"118","3DD.003C06F6CA"
"119","3DD.003C06F6BC"
"120","3DD.003C06F7BB"
"121","3DD.003BA20C63"
"122","3DD.003C06F78D"
"123","3DD.003C06F79B"
"124","3DD.003C06F74B"
"125","3DD.003C06F6A2"
"126","3DD.003C06F7D5"
"127","3DD.003C06F784"
"128","3DD.003C06F6A3"
"129","3DD.003C06F6A4"
"130","3DD.003C06F71F"
"131","3DD.003C06F697"
"132","3DD.003BA20F5E"
"133","3DD.003C06F739"
"134","3DD.003C06F792"
"135","3DD.003C06F722"
"136","3DD.003C06F684"
"137","3DD.003C06F7AC"
"138","3DD.003C06F74F"
"139","3DD.003C06F727"
"140","3DD.003C06F770"
"141","3DD.003C06F79F"
"142","3DD.003C06F771"
"143","3DD.003BA20F45"
"144","3DD.003C06F76C"
"145","3DD.003BA20C4C"
"146","3DD.003C06F672"
"147","3DD.003BA21210"
"148","3DD.003BA07BB3"
"149","3DD.003BA212FD"
"150","3DD.003C06F7BE"
"151","3DD.003C06F7D7"
"152","3DD.003BA07BC9"
"153","384.36F2B28E53"
"154","3DD.003BA212D6"
"155","3DD.003C06F759"
"156","384.36F2B28FFB"
"157","3DD.003C06F7BD"
"158","3DD.003C06F7C8"
"159","3DD.003C06F7AE"
"160","3DD.003BA20F4C"
"161","3DD.003BA20C0F"
"162","3DD.003C06F761"
"163","3D9.1C2DA55FB2"
"164","3DD.003BA2130D"
"165","3DD.003C06F74A"
"166","3DD.003C06F787"
"167","3DD.003C06F730"
"168","3DD.003C06F755"
"169","3DD.003C06F720"
"170","3DD.003C06F767"
"171","3D9.1C2DA56C4F"
"172","384.36F2B28E14"
"173","3DD.003BA20C0B"
"174","3DD.003BA212D1"
"175","3DD.003C06F748"
"176","3DD.003C06F77C"
"177","3DD.003C06F716"
"178","3DD.003C06F728"
"179","3DD.003C06F740"
"180","3DD.003BA07D1B"
"181","3DD.003C06F77F"
"182","3DD.003C06F789"
"183","3DD.003C06F71C"
"184","3DD.003C06F7A9"
"185","3DD.003C06F786"
"186","3DD.003C06F7A7"
"187","3DD.003C06F7D0"
"188","3DD.003C06F79E"
"189","3DD.003C06F7CB"
"190","3DD.003C06F785"
"191","3DD.003BA20FBF"
"192","3DD.003C06F731"
"193","3DD.003BA20BB5"
"194","3DD.003C06F79C"
"195","3DD.003C06F7B8"
"196","3DD.003C06F764"
"197","3DD.003C06F735"
"198","3DD.003C06F7A2"
"199","3DD.003BA20C03"
"200","3DD.003C06F776"
"201","3DD.003C06F78F"
"202","3DD.003BA07B72"
"203","3DD.003C06F717"
"204","3DD.003C06F78B"
"205","3DD.003C06F77A"
"206","3DD.003BA20BC3"
"207","3D9.1C2DA5534E"
"208","3DD.003BA20C41"
"209","3DD.003C06F780"
"210","3DD.003C06F73A"
"211","384.36F2B28E45"
"212","3DD.003BA20F9E"
"213","3DD.003C06F744"
"214","3DD.003C06F79A"
"215","3DD.003BA07B23"
"216","3DD.003C06F745"
"217","3DD.003C06F714"
"218","3DD.003BA20FCE"
"219","3DD.003C06F72B"
"220","3DD.003C06F74C"
"221","3DD.003C06F775"
"222","3DD.003C06F712"
"223","384.36F2B28E0A"
"224","3DD.003BA20FB2"
"225","3DD.003C06F7BC"
"226","384.36F2B28DF6"
"227","3DD.003BA07EC6"
"228","3DD.003C06F774"
"229","3DD.003C06F757"
"230","3DD.003C06F754"
"231","3DD.003BA07B1E"
"232","3DD.003C06F769"
"233","3D9.1C2DA3E460"
"234","3DD.003BA07B95"
"235","3DD.003C06F7A0"
"236","3D9.1C2DA681B2"
"237","3DD.003C06F7BF"
"238","3DD.003BA07B37"
"239","3DD.003BA20F93"
"240","3DD.003C06F7B1"
"241","3DD.003C06F741"
"242","3DD.003BA20FEE"
"243","3DD.003C06F7AB"
"244","3DD.003BA20FAF"
"245","3DD.003BA07B80"
"246","3DD.003C06F73F"
"247","3DD.003C06F76E"
"248","3DD.003BA21303"
"249","3DD.003C06F747"
"250","3DD.003BA20BF7"
"251","3DD.003BA07C26"
"252","3DD.003BA20F57"
"253","3DD.003BA0800B"
"254","3DD.003C06F756"
"255","3DD.003C06F76D"
"256","3DD.003C06F751"
"257","384.36F2B28FFC"
"258","3DD.003C06F797"
"259","3DD.003C06F75A"
"260","3DD.003C06F7A8"
"261","3DD.003BA212FA"
"262","3DD.003C06F7A6"
"263","3DD.003C06F7C5"
"264","3DD.003C06F78E"
"265","384.36F2B29033"
"266","3DD.003C06F742"
"267","3DD.003C06F74E"
"268","3DD.003C06F763"
"269","3DD.003C06F73E"
"270","384.36F2B28E56"
"271","3DD.003C06F75B"
"272","384.36F2B28DF7"
"273","3DD.003C06F753"
"274","3DD.003BA07B54"
"275","3DD.003C06F713"
"276","3DD.003C06F7B0"
"277","3DD.003BA07BB0"
"278","3DD.003BA07EB2"
"279","384.36F2B28E1F"
"280","3DD.003C06F76B"
"281","3DD.003BA07B17"
"282","3DD.003C06F719"
"283","3DD.003BA20F43"
"284","3DD.003BA20BF3"
"285","3DD.003C06F72D"
"286","3DD.003C06F75F"
"287","3DD.003C06F7B3"
"288","3D9.1C2DA5204B"
"289","3DD.003BA20F80"
"290","3DD.003BA20F96"
"291","3DD.003C06F788"
"292","3DD.003C06F750"
"293","3DD.003C06F768"
"294","3DD.003C06F7C7"
"295","3DD.003C06F72C"
"296","3DD.003C06F7D2"
"297","3DD.003C06F743"
"298","3DD.003C06F777"
"299","3DD.003C06F73B"
"300","3DD.003C06F794"
"301","3DD.003C06F72E"
"302","3DD.003C06F78C"
"303","3DD.003C06F7CE"
"304","3DD.003BA20C6C"
"305","3DD.003C06F7C0"
"306","3DD.003C06F791"
"307","3DD.003C06F796"
"308","3DD.003C06F7C1"
"309","3DD.003C06F781"
"310","3DD.003C06F7A3"
"311","3DD.003C06F733"
"312","3DD.003C06F73C"
"313","3DD.003C06F7C4"
"314","3DD.003BA07FFE"
"315","3DD.003C06F7A4"
"316","3DD.003C06F79D"
"317","3DD.003C06F782"
"318","3DD.003C06F7C2"
"319","3DD.003C06F7B7"
"320","3DD.003C06F738"
"321","3DD.003C06F77D"
"322","3DD.003C06F7C9"
"323","3DD.003C06F7AD"
"324","3DD.003C06F7D6"
"325","3DD.003BA20C42"
"326","3DD.003C06F73D"
"327","3DD.003C06F725"
"328","3DD.003C06F736"
"329","3DD.003C06F729"
"330","3DD.003C06F7C6"
"331","3DD.003C06F758"
"332","3DD.003BA07C82"
"333","3DD.003BA20F81"
"334","3DD.003C06F760"
"335","3DD.003C06F715"
"336","3DD.003BA20F55"
"337","3D9.1C2DA6CEC7"
"338","3DD.003C06F7B4"
"339","3DD.003C06F752"
"340","3DD.003C06F78A"
"341","3DD.003BA07B85"
"342","3DD.003C06F718"
"343","3DD.003C06F793"
"344","3DD.003C06F779"
"345","3DD.003C06F799"
"346","3DD.003C06F723"
"347","3DD.003C06F765"
"348","3DD.003C06F737"
"349","3DD.003C06F7CF"
"350","3DD.003C06F778"
"351","3DD.003C06F783"
"352","3DD.003C06F7D8"
"353","3DD.003BA07B9A"
"354","3DD.003C06F795"
"355","3DD.003C06F7CA"
"356","3DD.003C06F7B6"
"357","3DD.003BA20FEA"
"358","3DD.003BA07EFB"
"359","3DD.003BA20C6D"
"360","3DD.003BA07F46"
"361","3DD.003BA07EFA"
"362","3DD.003BA07ED7"
"363","3DD.003BA07BB6"
"364","3DD.003BA07ECD"
"365","3DD.003BCAB5C5"
"366","3DD.003BA2122B"
"367","3DD.003C06F766"
"368","3DD.003C06F7AA"
"369","3D9.1C2DA40202"
"370","3DD.003BA20B6B"
"371","3DD.003BA2120E"
"372","3DD.003BA20FAC"
"373","3DD.003C06F7D9"
"374","384.36F2B28E3D"
"375","3DD.003C06F772"
"376","3DD.003BA20FD7"
"377","3DD.003C06F7D4"
"378","3DD.003C06F7CC"
"379","3DD.003BA07BCF"
"380","3DD.003BA07EBC"
"381","3DD.003C06F76F"
"382","3DD.003BA20BBB"
"383","3DD.003BA21202"
"384","3DD.003BA07EFE"
"385","3DD.003BA20BAB"
"386","3DD.003BA07F2F"
"387","3DD.003BA07F14"
"388","3DD.003BA07EF4"
"389","384.36F2B28FF0"
"390","3DD.003BA07EDC"
"391","3DD.003BA07EEC"
"392","3DD.003BA07EB8"
"393","3DD.003BA07ED2"
"394","3DD.003BA08008"
"395","3DD.003BA07F5E"
"396","3DD.003BA07EE6"
"397","3DD.003BA07F07"
"398","3DD.003BA07BD1"
"399","3DD.003BA07F23"
"400","3DD.003BA20F85"
"401","3DD.003BA20BA4"
"402","3DD.003BA20C54"
"403","3D9.1C2DA56D09"
"404","3DD.003BA07F12"
"405","3DD.003BA07B50"
"406","3D9.1C2DA554FB"
"407","3DD.003BA20C79"
"408","3D9.1C2DA440E1"
"409","3DD.003BA07F36"
"410","3DD.003BA20BB9"
"411","3DD.003BA07EAC"
"412","3DD.003BA07EC3"
"413","3DD.003BA07EDA"
"414","3DD.003BA07EB5"
"415","3DD.003BA07CFF"
"416","3DD.003BA07EAA"
"417","3DD.003C06F75D"
"418","3DD.003C06F7D1"
"419","3DD.003C06F7CD"
"420","3DD.003C06F773"
